song_id,title,duration,release_date
1,Ditto (250 Remix),201866,2023-12-19
2,OMG (FRNK Remix),210400,2023-12-19
3,Attention (250 Remix),181400,2023-12-19
4,Hype Boy (250 Remix),251000,2023-12-19
5,Cookie (FRNK Remix),212400,2023-12-19
6,Hurt (250 Remix),224000,2023-12-19
7,Ditto (250 Remix) (Instrumental),201880,2023-12-19
8,OMG (FRNK Remix) (Instrumental),210400,2023-12-19
9,Attention (250 Remix) (Instrumental),181400,2023-12-19
10,Hype Boy (250 Remix) (Instrumental),251000,2023-12-19
11,Cookie (FRNK Remix) (Instrumental),212400,2023-12-19
12,Hurt (250 Remix) (Instrumental),216546,2023-12-19
13,Supernatural,191000,2024-06-21
14,Right Now,160413,2024-06-21
15,Supernatural (Instrumental),191000,2024-06-21
16,Right Now (Instrumental),160413,2024-06-21
17,How Sweet,219026,2024-05-24
18,Bubble Gum,200266,2024-05-24
19,How Sweet (Instrumental),219013,2024-05-24
20,Bubble Gum (Instrumental),200266,2024-05-24
21,Our Night is more beautiful than your Day,192411,2023-11-24
22,Our Night is more beautiful than your Day (Inst.),192411,2023-11-24
23,GODS,220878,2023-10-04
24,Beautiful Restriction,232453,2023-09-01
25,New Jeans,108986,2023-07-21
26,Super Shy,154666,2023-07-21
27,ETA,151373,2023-07-21
28,Cool With You,147880,2023-07-21
29,Get Up,36226,2023-07-21
30,ASAP,134386,2023-07-21
31,New Jeans,108986,2023-07-07
32,Super Shy,154666,2023-07-07
33,Zero (J.I.D Remix),224681,2023-06-20
34,"Be Who You Are (Real Magic) (feat. JID, NewJeans & Camilo)",189713,2023-05-31
35,Zero,154194,2023-04-03
36,OMG,212253,2023-01-02
37,Ditto,185506,2023-01-02
38,Ditto,185506,2022-12-19
39,Attention,180066,2022-08-01
40,Hype Boy,179026,2022-08-01
41,Cookie,235562,2022-08-01
42,Hurt,177946,2022-08-01
43,Magnetic (R&B Remix),171818,2024-04-19
44,Magnetic (Starlight Remix),168778,2024-04-19
45,Magnetic (City Night Remix),174669,2024-04-19
46,My World (Sped Up),80597,2024-04-01
47,Magnetic (Sped Up),123824,2024-04-01
48,Midnight Fiction (Sped Up),130858,2024-04-01
49,Lucky Girl Syndrome (Sped Up),104840,2024-04-01
50,My World,107463,2024-03-25
51,Magnetic,160688,2024-03-25
52,Midnight Fiction,168104,2024-03-25
53,Lucky Girl Syndrome,140021,2024-03-25
54,Dreamer,210826,2024-04-26
55,Second Best,204813,2024-04-26
56,Haunted,200626,2024-04-26
57,Must Be Love,184960,2024-04-26
58,While You Were Sleeping,177493,2024-04-26
59,Lovesick,225360,2024-04-26
60,California and Me,216306,2024-04-26
61,Nocturne (Interlude),144066,2024-04-26
62,Promise,234266,2024-04-26
63,From The Start,169573,2024-04-26
64,Misty,209800,2024-04-26
65,Serendipity,219906,2024-04-26
66,Letter To My 13 Year Old Self,262680,2024-04-26
67,Bewitched,246693,2024-04-26
68,Bored,213213,2024-04-26
69,Trouble,171760,2024-04-26
70,It Could Happen To You,127853,2024-04-26
71,Goddess [Explicit],267866,2024-04-26
72,Dreamer,210826,2023-09-08
73,Second Best,204813,2023-09-08
74,Haunted,200626,2023-09-08
75,Must Be Love,184960,2023-09-08
76,While You Were Sleeping,177493,2023-09-08
77,Lovesick,225360,2023-09-08
78,California and Me,216306,2023-09-08
79,Nocturne (Interlude),144066,2023-09-08
80,Promise,234266,2023-09-08
81,From The Start,169573,2023-09-08
82,Misty,209800,2023-09-08
83,Serendipity,219906,2023-09-08
84,Letter To My 13 Year Old Self,262680,2023-09-08
85,Bewitched,246693,2023-09-08
86,Fragile - Live at The Symphony,249000,2023-03-02
87,Valentine - Live at The Symphony,180320,2023-03-02
88,Dear Soulmate - Live at The Symphony,292000,2023-03-02
89,I Wish You Love - Live at The Symphony,169133,2023-03-02
90,Night Light - Live at The Symphony,247133,2023-03-02
91,Ég Veit Þú Kemur - Live at The Symphony,216733,2023-03-02
92,Falling Behind - Live at The Symphony,175133,2023-03-02
93,Best Friend - Live at The Symphony,179866,2023-03-02
94,Like the Movies - Live at The Symphony,212000,2023-03-02
95,The Nearness of You - Live at The Symphony,168400,2023-03-02
96,Let You Break My Heart Again - Live at The Symphony,302000,2023-03-02
97,What Love Will Do to You - Live at The Symphony,180000,2023-03-02
98,Beautiful Stranger - Live at The Symphony,211733,2023-03-02
99,Everytime We Say Goodbye - Live at The Symphony,273546,2023-03-02
100,Fragile,241080,2022-10-14
101,Beautiful Stranger,201266,2022-10-14
102,Valentine,168906,2022-10-14
103,Above The Chinese Restaurant,223173,2022-10-14
104,Dear Soulmate,260026,2022-10-14
105,What Love Will Do to You,171253,2022-10-14
106,I've Never Been In Love Before,222146,2022-10-14
107,Just Like Chet,216453,2022-10-14
108,Everything I Know About Love,209706,2022-10-14
109,Falling Behind,173640,2022-10-14
110,Hi,193573,2022-10-14
111,Dance With You Tonight,158560,2022-10-14
112,Night Light,242186,2022-10-14
113,Slow Down,145093,2022-10-14
114,Lucky for Me,144093,2022-10-14
115,Questions For The Universe,203693,2022-10-14
116,Where or When,203300,2024-07-19
117,Bewitched - Rework,262876,2024-06-07
118,Bewitched,246693,2024-06-07
119,Goddess [Explicit],267866,2024-03-06
120,Winter Wonderland - Spotify Singles Holiday,132800,2023-11-14
121,Have Yourself A Merry Little Christmas,258332,2023-11-10
122,Better Than Snow,166594,2023-11-10
123,Winter Wonderland,132800,2023-11-03
124,Christmas Dreaming,153226,2023-11-03
125,The Christmas Waltz,167666,2023-11-03
126,Love to Keep Me Warm,158133,2023-11-03
127,A Night To Remember,233388,2023-10-20
128,From The Start,169573,2023-05-11
129,Valentine - Live at The Symphony,180320,2023-02-14
130,Ain't Christmas (with Laufey),189088,2022-12-02
131,Valentine - Live,181133,2022-09-22
132,Falling Behind - Live,149173,2022-09-22
133,Dear Soulmate - Live,277333,2022-09-22
134,Fragile - Live,219186,2022-09-22
135,Let You Break My Heart Again - Live,280120,2022-09-22
136,Everything I Know About Love - Live,213560,2022-09-22
137,Everything I Know About Love,209706,2022-04-21
138,Valentine,168906,2022-02-14
139,Love to Keep Me Warm,158133,2021-12-03
140,Love Flew Away,147346,2021-10-07
141,Let You Break My Heart Again,269066,2021-08-13
142,Street by Street,224098,2021-04-30
143,Magnolia,180301,2021-04-30
144,Like the Movies,162758,2021-04-30
145,I Wish You Love,155138,2021-04-30
146,James,175970,2021-04-30
147,Someone New,198000,2021-04-30
148,Best Friend,164277,2021-04-30
149,Someone New,198000,2020-05-25
150,Street by Street,224098,2020-04-06
151,Nomad,225572,2024-07-12
152,Sexy to Someone,207795,2024-07-12
153,Second Nature,227409,2024-07-12
154,Slow Dance,234853,2024-07-12
155,Thank You,205069,2024-07-12
156,Terrapin,180289,2024-07-12
157,Juna,195109,2024-07-12
158,Add Up My Love,205263,2024-07-12
159,Echo,229853,2024-07-12
160,Glory of the Snow,170832,2024-07-12
161,Pier 4,205072,2024-07-12
162,Bambi,277400,2021-07-16
163,Amoeba,228922,2021-07-16
164,Partridge,193677,2021-07-16
165,Zinnias,174765,2021-07-16
166,Blouse,195376,2021-07-16
167,Wade,286979,2021-07-16
168,Harbor,264011,2021-07-16
169,Just For Today,217065,2021-07-16
170,Joanie,285697,2021-07-16
171,Reaper [Explicit],159841,2021-07-16
172,Little Changes,160545,2021-07-16
173,Management,228728,2021-07-16
174,Alewife,213000,2019-08-02
175,Impossible,230346,2019-08-02
176,Closer To You [Explicit],184293,2019-08-02
177,North,213253,2019-08-02
178,Bags,260519,2019-08-02
179,Softly,185306,2019-08-02
180,Sofia,188386,2019-08-02
181,White Flag,181253,2019-08-02
182,Feel Something,176800,2019-08-02
183,Sinking,190000,2019-08-02
184,I Wouldn't Ask You [Explicit],416373,2019-08-02
185,Love Songs,178352,2024-10-09
186,Brooklyn Baby - Spotify Singles [Explicit],345600,2024-07-11
187,Nomad,225572,2024-06-28
188,Sexy to Someone,207795,2024-06-28
189,Sexy to Someone,207795,2024-05-23
190,Bags - Recorded At Electric Lady Studios,279413,2023-05-12
191,Amoeba - Recorded At Electric Lady Studios,224946,2023-05-12
192,Zinnias - Recorded At Electric Lady Studios,251400,2023-05-12
193,Partridge - Recorded At Electric Lady Studios,229573,2023-05-12
194,Blouse - Recorded At Electric Lady Studios,193666,2023-05-12
195,Glue Song (feat. Clairo),135066,2023-04-17
196,After Midnight (feat. Clairo),188000,2023-03-16
197,Blouse,195376,2021-06-11
198,I Don’t Think I Can Do This Again (with Clairo),221986,2019-08-21
199,Sofia,188386,2019-07-26
200,Closer To You [Explicit],184293,2019-06-27
201,Bags,260519,2019-05-24
202,Sis,136280,2019-02-22
203,Bubble Gum,175960,2019-02-22
204,Heaven,233871,2018-09-07
205,Drown [Explicit],234055,2018-08-01
206,Better,193761,2018-07-06
207,Hello?,135016,2018-05-25
208,Flaming Hot Cheetos,122244,2018-05-25
209,B.O.M.D.,159942,2018-05-25
210,4EVER,159595,2018-05-25
211,Pretty Girl,179848,2018-05-25
212,How - demo,127040,2018-05-25
213,4EVER,159595,2018-04-27
214,Pretty Girl,178352,2017-08-04
215,Flaming Hot Cheetos,123884,2017-06-14
216,Get With U,118883,2017-04-15
217,2 Hold U,118877,2017-04-13
218,SOS [Explicit],117773,2022-12-09
219,Kill Bill,153946,2022-12-09
220,Seek & Destroy [Explicit],203733,2022-12-09
221,Low [Explicit],181080,2022-12-09
222,Love Language [Explicit],183893,2022-12-09
223,Blind [Explicit],150720,2022-12-09
224,Used (feat. Don Toliver),146950,2022-12-09
225,Snooze [Explicit],201800,2022-12-09
226,Notice Me [Explicit],160920,2022-12-09
227,Gone Girl [Explicit],244026,2022-12-09
228,Smoking on my Ex Pack [Explicit],83826,2022-12-09
229,Ghost in the Machine (feat. Phoebe Bridgers) [Explicit],218586,2022-12-09
230,F2F [Explicit],185040,2022-12-09
231,Nobody Gets Me [Explicit],180853,2022-12-09
232,Conceited [Explicit],151413,2022-12-09
233,Special [Explicit],158840,2022-12-09
234,Too Late,164426,2022-12-09
235,Far [Explicit],180680,2022-12-09
236,Shirt [Explicit],181840,2022-12-09
237,Open Arms (feat. Travis Scott),239613,2022-12-09
238,Supermodel [Explicit],181120,2022-06-09
239,Love Galore (feat. Travis Scott) [Explicit],275080,2022-06-09
240,Doves In The Wind (feat. Kendrick Lamar) [Explicit],266080,2022-06-09
241,Drew Barrymore [Explicit],231400,2022-06-09
242,Prom [Explicit],196133,2022-06-09
243,The Weekend [Explicit],272186,2022-06-09
244,Go Gina [Explicit],161613,2022-06-09
245,Garden (Say It Like Dat) [Explicit],208400,2022-06-09
246,Broken Clocks [Explicit],231253,2022-06-09
247,Anything [Explicit],149320,2022-06-09
248,Wavy (Interlude) (feat. James Fauntleroy) [Explicit],75800,2022-06-09
249,Normal Girl [Explicit],253586,2022-06-09
250,Pretty Little Birds (feat. Isaiah Rashad) [Explicit],245946,2022-06-09
251,20 Something [Explicit],198160,2022-06-09
252,Love Galore (Alt Version) [Explicit],273777,2022-06-09
253,2AM [Explicit],242823,2022-06-09
254,Miles [Explicit],69728,2022-06-09
255,Percolator [Explicit],84000,2022-06-09
256,Tread Carefully [Explicit],182068,2022-06-09
257,Awkward [Explicit],178000,2022-06-09
258,Waving Through A Window - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,235971,2021-09-24
259,For Forever - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,310765,2021-09-24
260,Sincerely Me - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,217371,2021-09-24
261,Requiem - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,264688,2021-09-24
262,If I Could Tell Her - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,243151,2021-09-24
263,The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,283771,2021-09-24
264,You Will Be Found - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,358944,2021-09-24
265,Only Us - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,239551,2021-09-24
266,Words Fail - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,347434,2021-09-24
267,So Big / So Small - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,265563,2021-09-24
268,A Little Closer - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,249953,2021-09-24
269,You Will Be Found (Sam Smith & Summer Walker Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,237814,2021-09-24
270,The Anonymous Ones (SZA Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,249402,2021-09-24
271,Only Us (Carrie Underwood & Dan + Shay Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,225621,2021-09-24
272,A Little Closer (FINNEAS Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,242412,2021-09-24
273,Waving Through A Window (Tori Kelly Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,266196,2021-09-24
274,Black Panther [Explicit],130613,2018-02-09
275,All The Stars (with SZA) [Explicit],232186,2018-02-09
276,X (with 2 Chainz & Saudi) [Explicit],267426,2018-02-09
277,The Ways (with Swae Lee) [Explicit],238893,2018-02-09
278,Opps (with Yugen Blakrok) [Explicit],180893,2018-02-09
279,I Am [Explicit],208760,2018-02-09
280,Paramedic! [Explicit],219306,2018-02-09
281,Bloody Waters (with Anderson .Paak & James Blake) [Explicit],272306,2018-02-09
282,"King's Dead (with Kendrick Lamar, Future & James Blake) [Explicit]",225266,2018-02-09
283,Redemption Interlude [Explicit],85266,2018-02-09
284,Redemption (with Babes Wodumo) [Explicit],222093,2018-02-09
285,Seasons (with Sjava & Reason) [Explicit],242293,2018-02-09
286,Big Shot (with Travis Scott) [Explicit],221826,2018-02-09
287,Pray For Me (with Kendrick Lamar) [Explicit],211440,2018-02-09
288,Supermodel [Explicit],181120,2017-06-09
289,Love Galore (feat. Travis Scott) [Explicit],275080,2017-06-09
290,Doves In The Wind (feat. Kendrick Lamar) [Explicit],266080,2017-06-09
291,Drew Barrymore [Explicit],231400,2017-06-09
292,Prom [Explicit],196133,2017-06-09
293,The Weekend [Explicit],272186,2017-06-09
294,Go Gina [Explicit],161613,2017-06-09
295,Garden (Say It Like Dat) [Explicit],208400,2017-06-09
296,Broken Clocks [Explicit],231253,2017-06-09
297,Anything [Explicit],149320,2017-06-09
298,Wavy (Interlude) (feat. James Fauntleroy) [Explicit],75800,2017-06-09
299,Normal Girl [Explicit],253586,2017-06-09
300,Pretty Little Birds (feat. Isaiah Rashad) [Explicit],245946,2017-06-09
301,20 Something [Explicit],198160,2017-06-09
302,Ur,235769,2014-04-08
303,Childs Play (feat. Chance the Rapper),216234,2014-04-08
304,Julia,219642,2014-04-08
305,Warm Winds (feat. Isaiah Rashad),350911,2014-04-08
306,HiiiJack,222164,2014-04-08
307,Green Mile [Explicit],214385,2014-04-08
308,Babylon (feat. Kendrick Lamar) [Explicit],234284,2014-04-08
309,Sweet November [Explicit],243744,2014-04-08
310,Shattered Ring,245806,2014-04-08
311,Omega,263313,2014-04-08
312,Saturn,186191,2024-02-22
313,Saturn - Live,181903,2024-02-22
314,Saturn - Sped Up,159314,2024-02-22
315,Saturn - Acapella,186191,2024-02-22
316,Saturn - Instrumental,186191,2024-02-22
317,NO SZNS,213026,2023-09-22
318,Snooze (Acoustic) (feat. Justin Bieber) [Explicit],190464,2023-09-15
319,Slime You Out (feat. SZA) [Explicit],310490,2023-09-15
320,Snooze [Explicit],201800,2023-08-25
321,Snooze - Sped Up [Explicit],171520,2023-08-25
322,Snooze,201800,2023-08-25
323,Snooze - Instrumental [Explicit],201813,2023-08-25
324,Kill Bill (feat. Doja Cat) [Explicit],175836,2023-04-14
325,Special (feat. SZA) [Explicit],174748,2023-02-09
326,Special [Explicit],174398,2023-02-09
327,Kill Bill - Acoustic,168608,2023-01-24
328,Kill Bill,153946,2023-01-13
329,Kill Bill - Sped Up Version,137528,2023-01-13
330,Kill Bill - Instrumental,153946,2023-01-13
331,Kill Bill - Vocals,153946,2023-01-13
332,Shirt [Explicit],181830,2022-10-28
333,BEAUTIFUL (feat. Future & SZA) [Explicit],223232,2022-08-24
334,Persuasive (with SZA) [Explicit],210346,2022-07-22
335,Persuasive [Explicit],216707,2022-07-22
336,No Love (with SZA & Cardi B) - Extended Version [Explicit],276214,2022-03-25
337,I Hate U [Explicit],174000,2021-12-03
338,fue mejor (feat. SZA) [Explicit],230964,2021-09-29
339,The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,283771,2021-09-10
340,The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,249402,2021-09-10
341,Just For Me (with SZA) - Space Jam: A New Legacy,217394,2021-06-11
342,Kiss Me More (feat. SZA) [Explicit],208866,2021-04-09
343,Good Days [Explicit],279204,2020-12-25
344,Hit Different [Explicit],202007,2020-09-04
345,The Other Side (from Trolls World Tour) - Ovy On The Drums Remix,197058,2020-04-20
346,The Other Side (from Trolls World Tour) - Oliver Heldens Remix,236107,2020-04-10
347,The Other Side (from Trolls World Tour),188186,2020-02-26
348,Just Us (feat. SZA) [Explicit],221378,2019-05-10
349,All The Stars (with SZA) [Explicit],235540,2018-01-04
350,The Weekend - Funk Wav Remix,171805,2017-12-15
351,Broken Clocks [Explicit],231253,2017-06-02
352,Drew Barrymore [Explicit],236444,2017-01-13
353,For Now,133268,2023-11-03
354,Peace Like Rivers,403514,2023-11-03
355,Fire At The Ocean,115000,2023-11-03
356,Good Place To Be,214190,2023-11-03
357,Some White Mountain,165309,2023-11-03
358,Name In The Clouds,254740,2023-11-03
359,Sycamore,346027,2023-11-03
360,Peace Like Rivers - Live Version,396236,2023-11-03
361,Whirlpool,246783,2020-06-05
362,Spit [Explicit],222208,2020-06-05
363,Sun Shadow,253732,2020-06-05
364,Limes,139605,2020-06-05
365,Bearer,173388,2020-06-05
366,Leaps,247808,2020-06-05
367,Limes For Squeezin,347739,2020-06-05
368,Right Medicine,230713,2014-01-30
369,Heart Attack,199691,2014-01-30
370,Stay True,204806,2014-01-30
371,You Read On,243692,2014-01-30
372,Magnetic,205928,2014-01-30
373,Do You Wrong,187636,2014-01-30
374,Cut To Size,342082,2014-01-30
375,I Demand It,164861,2014-01-30
376,Blind and Unwise,278825,2012-06-04
377,Sleeping States,169888,2012-06-04
378,Cause It's Cold,156061,2012-06-04
379,First Flying V,183327,2012-06-04
380,Kiss On the Cliff,192838,2012-06-04
381,Come Now,232951,2012-06-04
382,Loser,89379,2012-06-04
383,Miss Miss,231990,2012-06-04
384,Everything for Free,225576,2012-06-04
385,Romance and Stars,195674,2012-06-04
386,Prismatism,292873,2012-06-04
387,For the Best,139365,2010-11-15
388,Landscapes,220031,2010-11-15
389,Over and Over,176250,2010-11-15
390,Soulgazing,264909,2010-11-15
391,Geysire Nationale,155012,2010-11-15
392,Frebeight,115123,2010-11-15
393,Olly Olly Oxen Free,191192,2010-11-15
394,A Century Is All We Need,229331,2010-11-15
395,Leaves,212482,2010-11-15
396,Puller Return,144485,2010-11-15
397,Hard to Define,107260,2010-11-15
398,Dream Machine,244638,2010-11-15
399,Tin Can Ride,274266,2010-11-15
400,Oats We Sow,178080,2008-10-13
401,August Moon,107813,2008-10-13
402,Doubtful,142573,2008-10-13
403,Grey Weather,141133,2008-10-13
404,Voice Like a Bell,209013,2008-10-13
405,Wild West,210320,2008-10-13
406,Stone Wall Stone Fence,308920,2008-10-13
407,Ghost,201946,2008-10-13
408,Superlegend,159280,2008-10-13
409,Harmless,200546,2008-10-13
410,Two Faced Twin,171866,2008-10-13
411,Boats & Birds (Demo Version),178240,2007-01-01
412,The Bolder Thing To Do (Demo Version),284720,2007-01-01
413,In Fact (Demo Version),121653,2007-01-01
414,Bravo Charlie,160253,2007-01-01
415,I'm Your Puppet,143120,2007-01-01
416,The Point Sometimes,177280,2007-01-01
417,Isabelle (Demo Version),159680,2007-01-01
418,Instrumental (Saul),139706,2007-01-01
419,Kill the Turkey,202693,2007-01-01
420,Neither Freer,249040,2007-01-01
421,Memory and Honesty,158413,2007-01-01
422,Oats We Sow,169840,2007-01-01
423,Sets,176706,2007-01-01
424,"Stone Wall, Stone Fence",288746,2007-01-01
425,Bad Habit,163786,2007-01-01
426,Sweet Winter Hello,151426,2007-01-01
427,The Bolder Thing to Do,204506,2007-01-01
428,Blame-qui,177826,2007-01-01
429,The People Who Raised Me,128426,2007-01-01
430,Season Poem,210280,2007-01-01
431,Wild West,219000,2007-01-01
432,Some White Mountain,165309,2023-06-13
433,My Own Bad Dreams,248571,2022-10-28
434,He's Not Gonna Call,164951,2022-10-28
435,Trace Chain,218444,2022-10-28
436,How To Thank A Friend,228801,2022-10-28
437,Sediment,153793,2012-11-20
438,Take Me Away (Waterworn),99964,2012-11-20
439,Kids in America (Demo),122000,2012-11-20
440,I'd Rather Be Traveling,127000,2012-11-20
441,Wait Until I Let Go,224415,2012-11-20
442,Blue Ribbon Waltz,257712,2012-11-20
443,Olly Olly Oxen Free,191192,2010-11-01
444,Whisper the Answer,214186,2010-11-01
445,Ghost,192920,2008-09-29
446,Dare & Daring,193946,2008-09-29
447,Boats & Birds,174026,2006-01-01
448,"Avalanche! Oh, Avalanche!",63346,2006-01-01
449,In Fact (the Carousel Remix),106946,2006-01-01
450,A Wish,183013,2006-01-01
451,Isabelle,171026,2006-01-01
452,Fin Song 8 (orange River Remix),208400,2006-01-01
453,letter,244243,2022-05-14
454,carioca in paris,178178,2022-05-14
455,shan-lila shan-lula,211210,2022-05-14
456,esper,205205,2022-05-14
457,my room,222221,2022-05-14
458,navel,226226,2022-05-14
459,magic hour,259259,2022-05-14
460,lull la lula,196195,2022-05-14
461,waltz for hulot,227652,2011-09-13
462,oyasumi,226718,2011-09-13
463,okiniiri,234609,2011-09-13
464,snowdrop,281531,2011-09-13
465,kirari futari,160168,2011-09-13
466,a border,225992,2011-09-13
467,tricolore,241874,2011-09-13
468,natsu no stole,111010,2011-09-13
